keyword,title,link,authors,journal,year,snippet,full_abstract,pdf_url
chess,Individual differences in chess expertise: A psychometric investigation,https://www.sciencedirect.com/science/article/pii/S0001691806000849,"RH Grabner, E Stern, AC Neubauer",Acta psychologica,2007,"… differences in chess expertise is presented. A sample of 90 adult tournament chess players of … variables; in addition, experience in chess play, tournament participation, and practice …",,https://ethz.ch/content/dam/ethz/special-interest/gess/ifv/professur-lehr-und-lernforschung/publikationen-stern/ab-2005/Artikel/Grabner_Stern_Neubauer_Acta_2006.pdf
chess,On the effect of chess training on scholastic achievement,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.00762/full,WM Bart,Frontiers in psychology,2014,… The chess group participants registered significantly higher posttest metacognitive ability … non-chess group participants. A major conclusion of the study is that chess instruction improves …,,https://www.frontiersin.org/articles/10.3389/fpsyg.2014.00762/pdf
chess,Do the benefits of chess instruction transfer to academic and cognitive skills? A meta-analysis,https://www.sciencedirect.com/science/article/pii/S1747938X16300112,"G Sala, F Gobet",Educational research review,2016,… Chess instruction has been proposed as one way to remedy … that skills acquired during chess instruction in schools positively … 2788 young people in the chess condition and 2433 in the …,,
chess,Learning efficient classification procedures and their application to chess end games,https://www.sciencedirect.com/science/article/pii/B9780080510545500194,JR Quinlan,Machine learning,1983,"A series of experiments dealing with the discovery of efficient classification procedures from large numbers of examples is described, with a case study from the chess end game king-…",,
chess,Recall or evaluation of chess positions as determinants of chess skill,https://link.springer.com/article/10.3758/BF03197635,"DH Holding, RI Reynolds",Memory & Cognition,1982,"… chess positions. Contrary to any strong form of recognition-association hypothesis, differences in chess skill … An alternative approach to chess skill seems appropriate, in which memory …",,https://link.springer.com/content/pdf/10.3758/BF03197635.pdf
chess,Chess as a powerful educational tool for successful people,https://www.econstor.eu/handle/10419/196101,"A Jankovic, I Novak",… : Embracing Diversity in Organisations. April 5th …,2019,"… of chess to that great community of chess professionals, coaches, pedagogues and other chess … positive aspects that learning chess can bring to young people: • Chess teaches how to …",,https://www.econstor.eu/bitstream/10419/196101/1/ofel-2019-p425-441.pdf?ref=brainscape-academy
chess,Chess story,https://books.google.com/books?hl=en&lr=&id=UENesHyKpc0C&oi=fnd&pg=PA3&dq=chess&ots=_tdK26UAik&sig=hVkHOEUjVLocIRUqI-oz4dr_3lg,S Zweig,2005,2005,"… a chess manual fell into Dr. B's hands, for a while alleviating the burden of his isolation, and that by playing and replaying chess … acquired competence as a chess player, which turns out …",,
chess,Is chess the drosophila of artificial intelligence? A social history of an algorithm,https://journals.sagepub.com/doi/abs/10.1177/0306312711424596,N Ensmenger,Social studies of science,2012,… on chess as the measure of both human and computer intelligence had important and unintended consequences for AI research. This paper explores the emergence of chess … on chess …,,
chess,Learning models of individual behavior in chess,https://dl.acm.org/doi/abs/10.1145/3534678.3539367,"R McIlroy-Young, R Wang, S Sen, J Kleinberg…",Proceedings of the 28th …,2022,"… Chess [58], and provides the code infrastructure that we leverage to build our models. The second, Maia Chess… a particular rating level will make in a given chess position [43]. Maia can …",,https://dl.acm.org/doi/pdf/10.1145/3534678.3539367
chess,Chess-playing programs and the problem of complexity,https://ieeexplore.ieee.org/abstract/document/5392645/,"A Newell, JC Shaw, HA Simon",IBM Journal of Research and …,1958,"… will play chess. We think instead of chess programs: specifications written in a language, called machine code, that will instruct a digital computer of standard design how to play chess. …",,https://mirrors.meulie.net/bitsavers.org/pdf/ibm/IBM_Journal_of_Research_and_Development/024/ibmrd0204I.pdf
chess,A Game at Chess: Thomas Middleton,https://books.google.com/books?hl=en&lr=&id=DzMvETPBBdwC&oi=fnd&pg=PR6&dq=chess&ots=vNZc8lQl0N&sig=6oOO5EJDlTlwsrzd5wTt6W5z8SE,T Middleton,1997,1997,"For many years Middleton's"" A Game at Chess"" was more notorious than read, considered rather a phenomenon of theatrical history than a pre-eminent piece of dramatic writing."" A …",,
chess,The effects of speed on skilled chess performance,https://journals.sagepub.com/doi/abs/10.1111/j.0956-7976.2004.00699.x,BD Burns,Psychological Science,2004,"… chess masters had better recall for regular chess positions than did less skilled players, but that the chess … De Groot explained his findings as due to chess masters' familiarity with the …",,
chess,The psychology of chess and of learning to play it,https://www.jstor.org/stable/1412592,AA Cleveland,The American Journal of Psychology,1907,"… In this study an attempt is made to sketch the psychology of the game of chess, to trace the stages in the development of a chess player, and to interpret this progress in psychological …",,https://www.jstor.org/stable/pdf/1412592.pdf
chess,The game of chess,https://books.google.com/books?hl=en&lr=&id=5XmN60ps1L0C&oi=fnd&pg=PA1&dq=chess&ots=6HvDIcXM1Z&sig=NbdPzY1lDwryRsHOuuQPu_ubCrE,S Tarrasch,1987,1987,"… chess players all over the world, there -may be some readers of this book who have never heard of him, his fine record as a player and his great services to chess and chess … play chess …",,
