keyword,title,link,authors,journal,year,snippet,full_abstract,pdf_url
Chess By panchatantra,The Iranian Physician.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10292977&asa=N&AN=113845216&h=%2BF1X0EhIEgliSUx%2BQkn3Ae8zwq9RuW8b1KXlVLLLc2uWmLGqOlpWBoCev%2B9zN%2FNDVLdxmD9s1iA8P08p%2FQqBZw%3D%3D&crl=c,T Nayernouri,Archives of Iranian Medicine (AIM),2016,… the Karnameh describes the game of chess (shatrange) and … Another legend relating to the game of chess (shatrange) … I could translate the book of ‘Panchatantra’ which we know as ‘…,,
Chess By panchatantra,Revisiting the educational heritage of India,https://www.torrossa.com/it/resources/an/5277769,S Singh,2022,2022,"India has perhaps the oldest and most enduring traditional educational system in the world, and with the broadest range of subjects taught since the most ancient period. We find all …",,
Chess By panchatantra,"Investigación comparativa de los puntos de vista de borzuya, el médico, y de john hick en el problema de la diversidad de las religiones y la coexistencia de sus …",https://dilemascontemporaneoseducacionpoliticayvalores.com/index.php/dilemas/article/view/939,"S Azarkasb, S Azarkasb",Dilemas …,2019,"Este artículo investiga los puntos de vista de Borzuya, el médico, y el de Hick, en el problema de la diversidad de las religiones y la coexistencia de seguidores de religiones en un …",,https://dilemascontemporaneoseducacionpoliticayvalores.com/index.php/dilemas/article/download/939/354/
Chess By panchatantra,The Formation of India: Notes on the History of an Idea,https://www.jstor.org/stable/3517600,I Habib,Social Scientist,1997,"… In his Nuh Sipihr he speaks of India's contributions to the world (the numerals, the Panchatantra and chess!), and of the several regional (Hindawi) languages, the Sanskrit of the …",,https://www.altnews.in/wp-content/uploads/2023/09/habib.pdf
Chess By panchatantra,Panchopakhyana: Fossilized Marathi Culture and the Translation Lens,https://www.ntm.org.in/download/ttvol/volume13-2/article6.pdf,PS PADHYE,ntm.org.in,,… Next is the north western Panchatantra from which we have the Nepalese … From Punjab the Marathi people brought Chess and along with the game came the words and phrases used …,,https://www.ntm.org.in/download/ttvol/volume13-2/article6.pdf
Chess By panchatantra,The Role of Ancient Indian Literature in Character Building,https://nec-india.org/IssuesImages/49Anusandhan%20Anveshika%20%20Vol.%20XIV%20%20July%202024.pdf#page=10,N Kumari,"vuqla/kku vUosf"" kdk",2024,"India, one of the oldest and the richest civilization of the world, has been a holy land of sages, philosophers and scientists, contributing a lot in the field of literature, philosophy, …",,https://nec-india.org/IssuesImages/49Anusandhan%20Anveshika%20%20Vol.%20XIV%20%20July%202024.pdf#page=10
Chess By panchatantra,Understanding Kautilya's Arthashastra,https://www.jstor.org/stable/48535489,PK Gautam,World Affairs: The Journal of International Issues,2013,India would gain by reviving her ancient strategic culture outlined in such classics as the Arthashastra. This article argues that learning the essential precepts by heart paves the way for …,,
Chess By panchatantra,Common Sense–Its Development and Disorders,https://teslatech.info/ttmagazine/v6n2/v6n2smith.pdf,RW Smith,ExtraOrdinary Technology,2008,"… , 2002), arts and design (Landre, 2004; Smith and Shadel, 2008), politics (Paine, 1776), ancient Sanskrit literature (eg,“Aprikshitakaraka” is the fifth of five principles in the Panchatantra, …",,https://teslatech.info/ttmagazine/v6n2/v6n2smith.pdf
Chess By panchatantra,Chanakya in You: Adventures of a Modern Kingmaker,https://books.google.com/books?hl=en&lr=&id=hdrBCAAAQBAJ&oi=fnd&pg=PT7&dq=Chess+By+panchatantra&ots=F-pl46ft7e&sig=lTSJyzm_-Bx5O9aEOaibdJEWV1c,R Pillai,2015,2015,"… Upanishads to the fables of Panchatantra. I realized then where he got all his stories from. … of war; that is why we find camels included in chess today. When it went to European nations, …",,
Chess By panchatantra,"Secular Sciences in an Era of Cultural Change: India, 1206–1526—A Survey",https://journals.sagepub.com/doi/abs/10.1177/23484489221120038,I Habib,Studies in People's History,2022,"The establishment of the Delhi Sultanate, 1206, marked the infusion of a new cultural stream to which the religiously neutral term ‘Persianate’ is now attached. Indeed, it added to …",,
Chess By panchatantra,Third Convocation,https://ir.vidyasagar.ac.in/bitstream/123456789/177/2/Third_convocation_VC.pdf,"AK Dev, I Habib, KV Reddy",1998,1998,"… In his Nuh Sipihr he speaks of India's contributions to the world (numerals, the Panchatantra and chess!), and of the several regional (Hindawi) …",,https://ir.vidyasagar.ac.in/bitstream/123456789/177/2/Third_convocation_VC.pdf
Chess By panchatantra,Beyond Orientalism: Premchand in Spanish translations,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781315616698-7&type=chapterpdf,SS Gupta,Premchand in World Languages,2016,"… at Toledo diligently translated into an incipient Spanish the Panchatantra (translated in 1257 as Calila e Dimna); several treatise on chess, alchemy and mathematics were brought to …",,https://www.researchgate.net/profile/Shailendra-Singh-76/post/Has_any_research_on_translation_investigated_the_phenomenon_of_bilingual_authors_who_produce_versions_of_their_books_in_both_their_languages/attachment/5fd873863b21a20001621e18/AS%3A968923910508546%401608020870458/download/Asaduddin%2C+Mohammad_+Premacanda+-+Premchand+in+world+languages_+translation%2C+reception+and+cinematic+representations-Routledge+India+%282016%29.pdf#page=109
Chess By panchatantra,A Short Review of the History of Ancient Hindu Medicine.,https://journals.sagepub.com/doi/abs/10.1177/003591571300601515,C Muthu,Proceedings of the Royal Society of Medicine,1913,"… the game of chess, now used all over theworld. The fables of animals from the time of AEsop … The tales of Panchatantra (five stories) were taken from the fables of Bidpai, the Indian sage…",,https://journals.sagepub.com/doi/pdf/10.1177/003591571300601515
Chess By panchatantra,"Translatio/n, empire, and the worlding of medieval literature: the travels of Kalila wa Dimna",https://www.tandfonline.com/doi/abs/10.1080/13688790802456051,S Kinoshita,Postcolonial Studies,2008,"… Ultimately derived from the Panchatantra (a Sanskrit mirror for princes dating back to c. 300 CE), … of 103 chess problems, in a terse style directly influenced by Arabic chess treatises. See …",,
Chess By panchatantra,Lengthening shadows,https://www.academia.edu/download/96905859/Volume_Two.pdf,PM Castro,An anthology of goan short stories translated from the …,2015,"… would stop for a game of chess. Gregório was Carlos Manoel’… the skill he showed at chess, Gregório easily outwitted judges… to tales and fables from the Panchatantra. Today, however, …",,https://www.academia.edu/download/96905859/Volume_Two.pdf
Chess By panchatantra,Pre-Islamic Indo-Persian affinity,https://www.academia.edu/download/59405853/Prajna_2019_XXVIII20190527-97427-dgazbx.pdf#page=46,MB Ali,Prajña,,"… the Panchatantra with him. 12 The Panchatantra is an ancient collection of Indian fables and it was translated from Sanskrit into Pahlavi by Burzuya, who called it Kalila-wa-Dimna. Again…",,https://www.academia.edu/download/59405853/Prajna_2019_XXVIII20190527-97427-dgazbx.pdf#page=46
Chess By panchatantra,Beyond Orientalism,https://books.google.com/books?hl=en&lr=&id=7fQyDAAAQBAJ&oi=fnd&pg=PT80&dq=Chess+By+panchatantra&ots=qNF9uPHCfh&sig=k5ryla84o2Aauv_0KLEqnldGl5Q,SS Gupta,… in World Languages: Translation,2016,"… at Toledo diligently translated into an incipient Spanish the Panchatantra (translated in 1257 as Calila e Dimna) ; several treatise on chess, alchemy and mathematics were brought to …",,
Chess By panchatantra,GENERAL PRESIDENT'S ADDRESS,https://www.jstor.org/stable/26552618,S Moosvi,Proceedings of the Indian History Congress,2016,"… He commends the Brahmans for giving the world three gifts: the decimal-positioned numerals, the Panchatantra and the game of chess. After listing India’s major spoken languages, he …",,
Chess By panchatantra,ROLE OR SOGDIANS IN INTERNATIONAL TRADE AND CULTURAL INTERRELATION ON THE GREAT SILK ROAD,https://search.proquest.com/openview/541f673a7c163b1dd93d2516a80581a2/1?pq-origsite=gscholar&cbl=1036373,B Goyibov,Himalayan and Central Asian Studies,2024,"… the mural painted by him with the events of Panchatantra, knew this epic and that this Indian … special attention to Chess game."" Archaeological studies confirm that chess, widely played …",,
Chess By panchatantra,"NEP to Build up Indian Languages, Arts & Culture",https://www.researchgate.net/profile/Bhanupratap-Vishwakarma/publication/383276427_NEP_to_Build_up_Indian_Languages_Arts_Culture/links/66c64f6397265406eaa04f4c/NEP-to-Build-up-Indian-Languages-Arts-Culture.pdf,"DSP Bharti Wadekar, MB Vishwkarma",researchgate.net,,"… youngsters can have the chance to browse and learn from the initial stories of the Panchatantra, Jataka, Hitopadesh, and alternative fun fables and provoking tales from the Indian …",,https://www.researchgate.net/profile/Bhanupratap-Vishwakarma/publication/383276427_NEP_to_Build_up_Indian_Languages_Arts_Culture/links/66c64f6397265406eaa04f4c/NEP-to-Build-up-Indian-Languages-Arts-Culture.pdf
