keyword,result_id,type,title,link,authors,journal,year,snippet,full_abstract,publication,cited_by,cited_by_link,related_pages_link,versions_link,pdf_url
geograhical indications,2Zsz4XayYrcJ,,The global struggle over geographic indications,https://academic.oup.com/ejil/article-abstract/18/2/337/361981,"K Raustiala, SR Munzer",European Journal of International Law,2007,"Geographic indications (GIs) stand at the intersection of three hotly debated issues in international law: international trade, intellectual property and agricultural policy. Akin to a …",,"K Raustiala, SR Munzer - European Journal of International Law, 2007 - academic.oup.com",263,"https://scholar.google.com/scholar?cites=13214320480312597465&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:2Zsz4XayYrcJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=13214320480312597465&hl=en&num=20&as_sdt=0,22",https://academic.oup.com/ejil/article-pdf/18/2/337/1035895/chm016.pdf
geograhical indications,fHl7gTxX5OcJ,,The protection of geographical indications: law and practice,https://www.elgaronline.com/monobook/9781782546719.xml,M Blakeney,The Protection of Geographical Indications,2014,… mark after date of application for a geographical indication … trade mark prior to date of application for a geographical indication … Registration of trade mark prior to geographical …,,"M Blakeney - The Protection of Geographical Indications, 2014 - elgaronline.com",130,"https://scholar.google.com/scholar?cites=16709576434833389948&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:fHl7gTxX5OcJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=16709576434833389948&hl=en&num=20&as_sdt=0,22",https://toc.library.ethz.ch/objects/pdf03/e06_978-1-78254-671-9_01.pdf
geograhical indications,ZCXt47q9k8sJ,Html,From geographical indications to rural development: A review of the economic effects of European Union policy,https://www.mdpi.com/2071-1050/10/10/3745,"L Cei, E Defrancesco, G Stefani",Sustainability,2018,"One of the main functions of geographical indications (GIs) is to provide information and quality to consumers. This, in turn, can generate benefits for producers and stimulate rural …",,"L Cei, E Defrancesco, G Stefani - Sustainability, 2018 - mdpi.com",168,"https://scholar.google.com/scholar?cites=14669277021661373796&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:ZCXt47q9k8sJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=14669277021661373796&hl=en&num=20&as_sdt=0,22",
geograhical indications,2rumni3qLFcJ,Html,Environmental effects of geographical indications and their influential factors: A review of the empirical evidence,https://www.sciencedirect.com/science/article/pii/S2666049021000724,"MZ Milano, AA Cazella",Current research in Environmental sustainability,2021,"Geographical Indications (GIs) are labels that recognize products with specific identities, linked to the environmental and cultural characteristics of their places of origin. In this article, we …",,"MZ Milano, AA Cazella - Current research in Environmental sustainability, 2021 - Elsevier",68,"https://scholar.google.com/scholar?cites=6281653061931154394&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:2rumni3qLFcJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=6281653061931154394&hl=en&num=20&as_sdt=0,22",
geograhical indications,noMemeVuQOQJ,,Geographical indications: the aspects of rural development and marketing through the traditional products,https://www.sciencedirect.com/science/article/pii/S1877042812035690,"B Dogan, U Gokovali",Procedia-Social and Behavioral Sciences,2012,"… -Law, GIs are defined as the indicators which qualify a product that … geographical indication . The difference between the two is the fact that products protected by geographical indication …",,"B Dogan, U Gokovali - Procedia-Social and Behavioral Sciences, 2012 - Elsevier",167,"https://scholar.google.com/scholar?cites=16447267771552531358&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:noMemeVuQOQJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=16447267771552531358&hl=en&num=20&as_sdt=0,22",https://www.sciencedirect.com/science/article/pii/S1877042812035690/pdf?md5=dc20a043aa433f41a20c4ac8ff82392e&pid=1-s2.0-S1877042812035690-main.pdf&_valck=1
geograhical indications,0qGTdQ4V-p8J,,Essential Oil Composition of Ginger (Zingiber officinale Roscoe) Rhizomes from Different Place in India,https://www.tandfonline.com/doi/abs/10.1080/0972060X.2005.10643442,"VK Raina, A Kumar, KK Aggarwal",Journal of Essential Oil …,2005,"… ) rhizomes of commerce from three different geograhical locations in India, viz. Mizoram, … (1.9% and 2.9%) gave some what and indication of its being a different chemo-type. From the …",,"VK Raina, A Kumar, KK Aggarwal - Journal of Essential Oil …, 2005 - Taylor & Francis",55,"https://scholar.google.com/scholar?cites=11527549348054540754&as_sdt=4000005&sciodt=0,18&hl=en&num=20","https://scholar.google.com/scholar?q=related:0qGTdQ4V-p8J:scholar.google.com/&scioq=geograhical+indications&hl=en&num=20&as_sdt=0,18","https://scholar.google.com/scholar?cluster=11527549348054540754&hl=en&num=20&as_sdt=0,18",
geograhical indications,VLP0H4k0FiwJ,Pdf,LIVELIHOOD STRATEGIES OF ORGANIC COCOA PRODUCERS IN SÃO TOMÉ AND PRINCIPE,https://savearchive.zbw.eu/bitstream/11159/7643/1/1795622040_0.pdf#page=270,"I Prazeres, MR Lucas, A Marta-Costa…",Economic and Social …,2022,"… It is also desirable to understand how the existing geograhical indication could help transitioning towards a sustainability improvement, and contribute to help small farmers and …",,"I Prazeres, MR Lucas, A Marta-Costa… - Economic and Social …, 2022 - savearchive.zbw.eu",1,"https://scholar.google.com/scholar?cites=3176784350707757908&as_sdt=4000005&sciodt=0,18&hl=en&num=20","https://scholar.google.com/scholar?q=related:VLP0H4k0FiwJ:scholar.google.com/&scioq=geograhical+indications&hl=en&num=20&as_sdt=0,18","https://scholar.google.com/scholar?cluster=3176784350707757908&hl=en&num=20&as_sdt=0,18",https://savearchive.zbw.eu/bitstream/11159/7643/1/1795622040_0.pdf#page=270
geograhical indications,gQ-nNI2iNpYJ,,Geothermal development in Hawaii,https://evols.library.manoa.hawaii.edu/items/c65d6955-e8d7-4eb5-925d-154955914ef9,GO Lesperance,1988,1988,… information collected and identified 20 geograhical areas where there was some documented indication of a geothermal resource. Seven of those ten areas had a 25 percent probability …,,GO Lesperance - 1988 - evols.library.manoa.hawaii.edu,2,"https://scholar.google.com/scholar?cites=10824017481789017985&as_sdt=4000005&sciodt=0,18&hl=en&num=20","https://scholar.google.com/scholar?q=related:gQ-nNI2iNpYJ:scholar.google.com/&scioq=geograhical+indications&hl=en&num=20&as_sdt=0,18","https://scholar.google.com/scholar?cluster=10824017481789017985&hl=en&num=20&as_sdt=0,18",https://evols.library.manoa.hawaii.edu/bitstreams/efe9d212-121a-4cc2-8a12-4dc187372678/download
geograhical indications,6B4-WXKRw8oJ,,Beginning Age for Screening Colonoscopy: A Quality Assurance Assessment: 1107,https://journals.lww.com/ajg/fulltext/2009/10003/beginning_age_for_screening_colonoscopy__a_quality.1107.aspx,"G Overholt, L Brooks-Belli, M Grace…",Official journal of the …,2009,"… , irrespective of the indication for the esophagogastroduodenoscopy (… For all EGD indications women were significantly (~50%) more … centers serving a wide geograhical area in the US. …",,"G Overholt, L Brooks-Belli, M Grace… - Official journal of the …, 2009 - journals.lww.com",,,"https://scholar.google.com/scholar?q=related:6B4-WXKRw8oJ:scholar.google.com/&scioq=geograhical+indications&hl=en&num=20&as_sdt=0,18",,
geograhical indications,teqZKyaFfQYJ,,Implementation of spatial planning in the Dieng Plateau Region of Banjarnegara Regency,https://journal.unj.ac.id/unj/index.php/spatial/article/view/10249,"VF Mukaromah, JP Handoyo",SPATIAL Journal of Geograhy,2019,"… Indications of the discrepancy seen from the many types of dominant land use, such as intensive use of agricultural land to tourism activities that are starting to develop. These activities …",,"VF Mukaromah, JP Handoyo - SPATIAL Journal of Geograhy, 2019 - journal.unj.ac.id",7,"https://scholar.google.com/scholar?cites=467676335303158453&as_sdt=4000005&sciodt=0,18&hl=en&num=20","https://scholar.google.com/scholar?q=related:teqZKyaFfQYJ:scholar.google.com/&scioq=geograhical+indications&hl=en&num=20&as_sdt=0,18","https://scholar.google.com/scholar?cluster=467676335303158453&hl=en&num=20&as_sdt=0,18",https://journal.unj.ac.id/unj/index.php/spatial/article/download/10249/7451
